Year-Week,Weekly Tweets,close
2019-36,54.0,62.724
2019-37,122.0,65.756
2019-38,182.0,64.178
2019-39,120.0,57.336000000000006
2019-40,166.0,56.714
2019-41,80.0,55.57000000000001
2019-42,274.0,55.278
2019-43,164.0,52.55
2019-44,78.0,52.978
2019-45,66.0,52.888000000000005
2019-46,58.0,54.06
2019-47,70.0,55.227500000000006
2019-48,165.0,53.90599999999999
2019-49,80.0,53.76000000000001
2019-50,96.0,56.74
2019-51,79.0,57.7275
2019-52,33.0,56.11
2020-00,53.0,57.13
2020-01,69.0,56.48
2020-02,255.0,55.68400000000001
2020-03,96.0,51.5175
2020-04,60.0,50.56
2020-05,97.0,52.224
2020-06,95.0,54.453
2020-07,487.0,55.7325
2020-08,251.0,47.181999999999995
2020-13,82.0,35.05
2020-14,57.0,38.3625
2020-15,85.0,41.202
2020-16,112.0,40.708
2020-17,90.0,43.31399999999999
2020-18,140.0,43.688
2020-19,123.0,40.361999999999995
2020-20,100.0,43.354
2020-21,66.0,46.3275
2020-22,68.0,49.28
2020-23,112.0,51.41
2020-24,105.0,50.398
2020-25,107.0,49.988
2020-26,69.0,49.52
2020-27,336.0,55.864
2020-28,250.0,59.8
2020-29,189.0,61.742
2020-30,202.0,60.26000000000001
2020-31,447.0,65.6
2020-32,327.0,73.248
2020-33,178.0,74.32600000000001
2020-34,322.0,77.938
2020-35,169.0,75.404
2020-36,76.0,70.2175
2020-37,283.0,68.41199999999999
2020-38,275.0,61.918000000000006
2020-39,215.0,66.628
2020-40,433.0,75.916
2020-41,407.0,82.48400000000002
2020-42,429.0,83.47
2020-43,1053.0,86.791
2020-44,464.0,86.21600000000001
2020-45,304.0,82.48200000000001
2020-46,318.0,82.486
2020-47,353.0,91.12
2020-48,277.0,90.632
2020-49,220.0,87.554
2020-50,463.0,91.10600000000001
2020-51,423.0,101.45
2020-52,201.0,99.3575
2021-01,634.0,100.53799999999998
2021-02,362.0,102.976
2021-03,388.0,104.0475
2021-04,436.0,103.338
2021-05,338.0,98.10600000000001
2021-06,332.0,100.48
2021-07,287.0,94.2225
2021-08,499.0,84.806
2021-09,236.0,79.204
2021-10,372.0,77.362
2021-11,177.0,80.542
2021-12,238.0,81.898
2021-13,202.0,85.39750000000002
