Date,Closing Price,Daily Tweets,Sentiment Score
2018-02-07,7.04,26.0,0.1564653846153847
2018-02-08,6.79,20.0,0.21935
2018-02-09,6.85,32.0,0.2064125
2018-02-12,6.89,51.0,0.2529392156862745
2018-02-13,7.38,51.0,0.24935490196078428
2018-02-14,7.48,32.0,0.36174375000000003
2018-02-15,7.39,35.0,0.21046285714285715
2018-02-16,7.64,23.0,0.303804347826087
2018-02-20,7.49,36.0,0.1308055555555556
2018-02-21,7.36,46.0,0.1703695652173913
2018-02-22,7.12,111.0,0.15172792792792789
2018-02-23,7.16,160.0,0.16199312500000002
2018-02-26,7.6,63.0,0.12591746031746034
2018-02-27,7.27,33.0,0.15086363636363637
2018-02-28,7.09,42.0,0.10025000000000002
2018-03-01,7.06,31.0,0.1509677419354839
2018-03-02,7.19,21.0,0.3097809523809524
2018-03-05,7.25,19.0,0.22327368421052635
2018-03-06,7.37,40.0,0.327605
2018-03-07,7.35,35.0,0.1994171428571429
2018-03-08,7.44,25.0,0.322808
2018-03-09,7.16,26.0,0.25285769230769234
2018-03-12,7.28,43.0,0.20806046511627904
2018-03-13,7.19,39.0,0.25867692307692297
2018-03-14,7.18,40.0,0.2926
2018-03-15,7.03,21.0,0.23337142857142862
2018-03-16,7.21,56.0,0.19783035714285716
2018-03-19,7.47,38.0,0.2257342105263158
2018-03-20,8.04,66.0,0.2334015151515151
2018-03-21,8.04,59.0,0.22443220338983055
2018-03-22,7.76,42.0,0.20847142857142859
2018-03-23,7.74,13.0,0.17357692307692307
2018-03-26,8.24,39.0,0.2438358974358975
2018-03-27,7.88,37.0,0.1708891891891892
2018-03-28,7.66,14.0,0.1549214285714286
2018-03-29,7.98,9.0,0.30181111111111114
2018-04-02,7.63,11.0,0.16280000000000003
2018-04-03,7.55,39.0,0.26482564102564093
2018-04-04,7.66,27.0,0.2276888888888889
2018-04-05,8.07,26.0,0.2466346153846154
2018-04-06,8.1,21.0,0.2591238095238096
2018-04-09,8.15,31.0,0.2126677419354839
2018-04-10,8.3,28.0,0.16434285714285715
2018-04-11,7.95,22.0,0.23114999999999997
2018-04-12,8.14,20.0,0.23805
2018-04-13,8.2,19.0,0.32630526315789476
2018-04-16,8.07,22.0,0.14786818181818182
2018-04-17,8.35,29.0,0.17735172413793107
2018-04-18,9.34,185.0,0.2081135135135135
2018-04-19,9.77,64.0,0.1656359375
2018-04-20,9.69,24.0,0.1227333333333333
2018-04-23,8.95,27.0,0.05538518518518519
2018-04-24,8.93,22.0,0.19862727272727276
2018-04-25,8.79,20.0,-0.05541
2018-04-26,8.89,106.0,0.13846415094339623
2018-04-27,8.96,175.0,0.1894714285714285
2018-04-30,8.53,101.0,0.06906039603960397
2018-05-01,8.42,55.0,0.1467327272727273
2018-05-02,8.36,50.0,0.20316599999999999
2018-05-03,8.14,32.0,0.32586875
2018-05-04,8.1,21.0,0.09962380952380952
2018-05-07,8.42,18.0,0.2385611111111111
2018-05-08,8.47,19.0,0.09582105263157893
2018-05-09,9.01,41.0,0.11277073170731709
2018-05-10,9.01,101.0,0.1268148514851485
2018-05-11,8.71,28.0,0.15341071428571432
2018-05-14,8.86,51.0,0.2349294117647059
2018-05-15,9.2,42.0,0.27249523809523807
2018-05-16,9.09,30.0,0.3271333333333334
2018-05-17,9.28,20.0,0.34756
2018-05-18,9.3,23.0,0.21540434782608694
2018-05-21,9.45,17.0,0.2236294117647059
2018-05-22,9.2,17.0,0.2316058823529412
2018-05-23,8.82,22.0,0.21569090909090913
2018-05-24,8.87,23.0,0.25441304347826094
2018-05-25,8.8,14.0,0.30855
2018-05-29,8.83,24.0,0.3610625
2018-05-30,8.59,22.0,0.21531818181818183
2018-05-31,8.39,14.0,0.35252857142857147
2018-06-01,8.44,23.0,0.18497391304347827
2018-06-04,8.18,55.0,0.1753909090909091
2018-06-05,7.87,166.0,0.10072530120481933
2018-06-06,7.32,228.0,0.13121622807017538
2018-06-07,7.28,160.0,0.11425000000000005
2018-06-08,7.05,73.0,0.20816575342465754
2018-06-11,7.47,47.0,0.20385319148936168
2018-06-12,7.86,85.0,0.1491776470588235
2018-06-13,7.98,68.0,0.2302058823529412
2018-06-14,8.02,47.0,0.1694893617021277
2018-06-15,7.62,60.0,0.163305
2018-06-18,7.96,29.0,0.20344137931034478
2018-06-19,8.09,47.0,0.22829148936170207
2018-06-20,8.06,38.0,0.2815789473684209
2018-06-21,7.98,32.0,0.21159687500000005
2018-06-22,8.23,79.0,0.1938151898734177
2018-06-25,7.79,113.0,0.14340530973451326
2018-06-26,7.78,39.0,0.2389333333333333
2018-06-27,7.68,19.0,0.20970526315789473
2018-06-28,7.74,28.0,0.17133928571428575
2018-06-29,7.67,26.0,0.14076923076923079
2018-07-02,8.05,38.0,0.35658947368421046
2018-07-03,7.7,20.0,0.17787999999999998
2018-07-05,7.89,17.0,0.36371764705882353
2018-07-06,7.87,20.0,0.39267500000000005
2018-07-09,7.96,33.0,0.22659090909090912
2018-07-10,7.98,43.0,0.198153488372093
2018-07-11,7.93,13.0,0.11625384615384617
2018-07-12,7.97,20.0,0.34131
2018-07-13,7.84,17.0,0.26118235294117653
2018-07-16,7.78,41.0,0.19070731707317076
2018-07-17,7.52,21.0,0.25348571428571426
2018-07-18,7.38,32.0,0.18761562500000004
2018-07-19,7.56,23.0,0.22309130434782604
2018-07-20,7.38,11.0,0.2148545454545455
2018-07-23,7.34,28.0,0.23428214285714294
2018-07-24,7.3,32.0,0.14614062500000002
2018-07-25,7.53,21.0,0.22580476190476195
2018-07-26,7.19,83.0,0.1450734939759036
2018-07-27,6.89,135.0,0.11714666666666662
2018-07-30,6.78,20.0,0.21632
2018-07-31,7.26,30.0,0.18934666666666675
2018-08-01,7.53,17.0,0.3730294117647059
2018-08-02,7.76,27.0,0.1802851851851852
2018-08-03,7.3,12.0,0.14935
2018-08-06,7.29,17.0,0.027223529411764726
2018-08-07,7.37,10.0,0.36832000000000004
2018-08-08,7.39,22.0,0.24155000000000004
2018-08-09,7.32,20.0,0.21805500000000003
2018-08-10,7.18,15.0,0.1562066666666667
2018-08-13,6.98,18.0,0.14164444444444443
2018-08-14,6.89,21.0,0.151552380952381
2018-08-15,6.69,7.0,0.051814285714285736
2018-08-16,6.6,9.0,0.10337777777777779
2018-08-17,6.64,10.0,0.15379000000000004
2018-08-20,6.9,28.0,0.20351785714285714
2018-08-21,6.92,27.0,0.10069259259259258
2018-08-22,6.79,13.0,0.19019999999999998
2018-08-23,6.71,16.0,0.14066249999999997
2018-08-24,6.79,7.0,0.40782857142857143
2018-08-27,6.76,28.0,0.24191071428571428
2018-08-28,6.66,13.0,0.3007846153846154
2018-08-29,6.97,27.0,0.22483703703703706
2018-08-30,6.74,30.0,0.20801333333333333
2018-08-31,6.72,10.0,0.22804000000000008
2018-09-04,6.72,9.0,0.27097777777777776
2018-09-05,6.71,19.0,0.2756894736842106
2018-09-06,6.53,13.0,0.13694615384615386
2018-09-07,6.37,11.0,0.18847272727272726
2018-09-10,6.46,4.0,0.2429
2018-09-11,6.88,17.0,0.1209176470588235
2018-09-12,6.86,9.0,0.1851888888888889
2018-09-13,6.64,17.0,0.21787058823529412
2018-09-14,6.7,11.0,0.3299454545454546
2018-09-17,6.58,15.0,0.20431333333333332
2018-09-18,7.55,23.0,0.2802260869565218
2018-09-19,7.95,27.0,0.28147037037037037
2018-09-20,8.07,14.0,0.2742285714285715
2018-09-21,7.89,13.0,0.2389230769230769
2018-09-24,7.78,13.0,0.2387923076923077
2018-09-25,7.72,9.0,0.26155555555555554
2018-09-26,7.56,13.0,0.35860000000000003
2018-09-27,7.44,20.0,0.25183
2018-09-28,7.3,6.0,0.13486666666666666
2018-10-01,7.11,9.0,0.4433333333333333
2018-10-15,6.69,4.0,0.417625
2018-10-16,6.95,13.0,0.07708461538461539
2018-10-17,6.89,15.0,0.19369333333333336
2018-10-18,6.91,15.0,0.13583333333333333
2018-10-19,7.01,11.0,0.29823636363636363
2018-10-22,6.75,12.0,0.2513916666666667
2018-10-23,6.65,17.0,0.3028235294117647
2018-10-24,6.42,31.0,0.21912903225806454
2018-10-25,6.52,79.0,0.1364367088607595
2018-10-26,6.21,95.0,0.20313263157894731
2018-10-29,5.94,58.0,0.1309931034482759
2018-10-30,6.42,35.0,0.21798
2018-10-31,6.01,28.0,0.21363928571428573
2018-11-01,6.23,12.0,0.24109166666666662
2018-11-02,6.09,14.0,0.29537142857142856
2018-11-05,6.36,67.0,0.19087462686567164
2018-11-06,6.18,25.0,0.24438800000000008
2018-11-07,6.44,7.0,0.3787
2018-11-08,6.26,13.0,0.4988769230769231
2018-11-09,6.25,17.0,0.3327411764705883
2018-11-12,6.34,5.0,0.38394000000000006
2018-11-13,6.14,12.0,0.29000833333333337
2018-11-14,6.08,16.0,0.21044999999999997
2018-11-15,6.28,6.0,0.38928333333333337
2018-11-16,6.51,12.0,0.13416666666666666
2018-11-19,6.35,12.0,0.5066833333333334
2018-11-20,5.99,10.0,0.27056
2018-11-21,6.06,8.0,0.0869625
2018-11-23,6.06,6.0,0.0689
2018-11-26,7.05,8.0,0.08215
2018-11-27,7.16,33.0,0.27977272727272734
2018-11-28,7.31,26.0,0.24818461538461542
2018-11-29,6.93,21.0,0.2631428571428571
2018-11-30,6.85,15.0,0.3561066666666667
2018-12-03,6.98,49.0,0.1666836734693878
2018-12-04,6.66,60.0,0.2320833333333333
2018-12-06,6.72,13.0,0.21075384615384612
2018-12-07,6.54,19.0,0.07144736842105263
2018-12-10,6.62,14.0,0.11906428571428572
2018-12-11,6.3,49.0,0.04417755102040817
2018-12-12,6.41,75.0,0.11126
2018-12-13,6.31,43.0,0.19655581395348834
2018-12-14,6.11,21.0,0.07566666666666666
2018-12-17,5.79,29.0,0.23562758620689658
2018-12-18,5.87,21.0,0.253352380952381
2018-12-19,5.66,5.0,0.16032000000000002
2018-12-20,5.39,4.0,0.45242499999999997
2018-12-21,5.07,10.0,0.46626
2018-12-24,4.6,4.0,0.1147
2018-12-26,4.95,13.0,0.1456
2018-12-27,4.94,9.0,0.3157888888888889
2018-12-28,5.06,2.0,0.14800000000000002
2018-12-31,4.97,8.0,0.048600000000000004
