Year-Week,COENF,DNNGY,DQ,ENPH,FSLR,GCTAY,ORA,RUN,SCTY,SPWR,TSLA,VWDRY
2007-32,7.05,,,,88.342,,41.54600000000001,,,68.476,,19.6
2007-33,7.05,,,,96.264,,43.422,,,64.298,,21.589999999999996
2007-34,7.05,,,,97.762,,42.166,,,63.822,,22.3
2007-35,7.05,,,,104.45,,44.092499999999994,,,71.97999999999999,,22.2625
2007-36,7.05,,,,99.794,,43.65,,,73.416,,22.279999999999998
2007-37,7.05,,,,102.50402,,44.54600000000001,,,80.412,,23.890000000000004
2007-38,6.890000000000001,,,,113.75798,,45.616,,,81.932,,26.160000000000004
2007-39,6.85,,,,131.05602,,48.534000000000006,,,87.058,,26.76
2007-40,6.85,,,,135.22797999999997,,50.04,,,88.374,,28.8
2007-41,6.85,,,,137.356,,50.444,,,92.954,,28.29
2007-42,6.85,,,,147.17,,49.57600000000001,,,109.46,,28.990000000000002
2007-43,6.85,,,,153.334,,52.58200000000001,,,123.274,,29.630000000000003
2007-44,6.85,,,,183.10002000000003,,52.802,,,138.88400000000001,,33.378
2007-45,6.85,,,,190.94799999999998,,49.766000000000005,,,113.816,,32.5
2007-46,6.85,,,,211.43,,47.81999999999999,,,107.44749999999999,,27.883333333333336
2007-47,6.85,,,,222.16600000000003,,48.78399999999999,,,116.71599999999998,,30.624000000000002
2007-48,6.85,,,,224.712,,51.290000000000006,,,129.052,,33.284000000000006
2007-49,6.85,,,,245.6024,,52.41799999999999,,,127.78198,,33.6
2007-50,6.85,,,,247.81,,53.19799999999999,,,127.32000000000001,,32.678
2007-51,6.85,,,,273.6225,,56.4275,,,136.4875,,35.0725
2007-52,6.85,,,,267.14,,55.01,,,130.39,,36.65
2008-00,6.849999999999999,,,,259.71666666666664,,54.99666666666667,,,128.37666666666667,,35.900000000000006
2008-01,6.85,,,,229.712,,53.56400000000001,,,112.686,,32.802
2008-02,6.447999999999999,,,,190.838,,47.144,,,91.214,,29.590000000000003
