Date,Closing Price,Daily Tweets,Pos Sentiment
2016-03-04,3.84,31.0,0.09590322580645161
2016-03-07,3.74,17.0,0.2654117647058823
2016-03-08,3.53,16.0,0.1439375
2016-03-09,3.53,24.0,0.2579166666666666
2016-03-10,3.53,28.0,0.15171428571428572
2016-03-11,3.53,16.0,0.09256249999999999
2016-03-14,3.53,97.0,0.1324948453608247
2016-03-15,3.53,18.0,0.19333333333333333
2016-03-16,3.53,14.0,0.23399999999999999
2016-03-17,3.53,12.0,0.15716666666666668
2016-03-18,3.9,101.0,0.052019801980198004
2016-03-21,3.9,26.0,0.179
2016-03-22,3.887,27.0,0.16381481481481483
2016-03-23,3.887,17.0,0.21464705882352939
2016-03-24,3.887,16.0,0.23743749999999997
2016-03-28,3.887,5.0,0.34459999999999996
2016-03-29,3.92,11.0,0.20181818181818187
2016-03-30,3.92,30.0,0.22086666666666666
2016-03-31,3.92,21.0,0.16861904761904764
2016-04-01,3.9037,13.0,0.2002307692307692
2016-04-04,3.9037,16.0,0.2044375
2016-04-05,3.9037,16.0,0.20543750000000002
2016-04-06,3.9037,19.0,0.16863157894736847
2016-04-07,3.9037,15.0,0.1596
2016-04-08,3.6601,68.0,0.07647058823529411
2016-04-11,3.6601,21.0,0.26671428571428574
2016-04-12,3.6601,25.0,0.23195999999999997
2016-04-13,3.6601,18.0,0.15805555555555553
2016-04-14,3.6601,21.0,0.25447619047619047
2016-04-15,3.68,28.0,0.16367857142857142
2016-04-18,3.68,19.0,0.16010526315789475
2016-04-19,3.9,15.0,0.1636
2016-04-20,3.7,23.0,0.1884782608695652
2016-04-21,3.7,21.0,0.2715714285714286
2016-04-22,3.7,31.0,0.24432258064516132
2016-04-25,3.7,33.0,0.2022121212121212
2016-04-26,3.7,33.0,0.21621212121212124
2016-04-27,3.7,55.0,0.16969090909090911
2016-04-28,3.81,44.0,0.20972727272727273
2016-04-29,3.86,42.0,0.18469047619047618
2016-05-02,3.86,26.0,0.17353846153846153
2016-05-03,3.86,35.0,0.16234285714285712
2016-05-04,3.86,32.0,0.12362500000000001
2016-05-05,4.2,23.0,0.21226086956521742
2016-05-06,4.04,13.0,0.22307692307692306
2016-05-09,4.04,17.0,0.23658823529411765
2016-05-10,4.06,29.0,0.19062068965517237
2016-05-11,4.06,35.0,0.14157142857142857
2016-05-12,3.99,23.0,0.12665217391304348
2016-05-13,3.99,22.0,0.2337727272727273
2016-05-16,3.99,90.0,0.20964444444444455
2016-05-17,4.01,19.0,0.1940526315789474
2016-05-18,3.8827,23.0,0.11882608695652172
2016-05-19,3.95,34.0,0.2349705882352941
2016-05-20,3.95,21.0,0.2655238095238095
2016-05-23,3.95,39.0,0.1958205128205128
2016-05-24,3.96,34.0,0.20844117647058824
2016-05-25,3.96,46.0,0.20665217391304344
2016-05-26,3.96,19.0,0.12094736842105261
2016-05-27,3.9101,25.0,0.16028000000000003
2016-05-31,3.9101,18.0,0.05811111111111111
2016-06-01,4.06,16.0,0.16475
2016-06-02,4.06,17.0,0.2282352941176471
2016-06-03,4.06,14.0,0.263
2016-06-06,4.04,14.0,0.2030714285714286
2016-06-07,4.04,12.0,0.08416666666666667
2016-06-08,4.04,26.0,0.22180769230769232
2016-06-09,4.04,28.0,0.17425000000000002
2016-06-10,3.9136,18.0,0.2940555555555555
2016-06-13,3.72,28.0,0.16724999999999998
2016-06-14,3.72,18.0,0.19666666666666668
2016-06-15,3.79,135.0,0.07362222222222223
2016-06-16,3.95,29.0,0.1984137931034483
2016-06-17,4.05,398.0,0.11663316582914574
2016-06-20,4.03,194.0,0.08524742268041241
2016-06-21,3.97,77.0,0.12837662337662337
2016-06-22,3.97,47.0,0.16512765957446812
2016-06-23,4.03,29.0,0.17203448275862065
2016-06-24,3.5301,31.0,0.1064516129032258
2016-06-27,3.5301,21.0,0.16142857142857145
2016-06-28,3.5301,22.0,0.17886363636363634
2016-06-29,4.033,32.0,0.14503125
2016-06-30,4.14,18.0,0.12294444444444445
2016-07-01,4.0280000000000005,21.0,0.189
2016-07-05,3.82,17.0,0.09047058823529412
2016-07-06,3.9,15.0,0.15433333333333335
2016-07-07,3.83,19.0,0.17178947368421055
2016-07-08,3.84,29.0,0.21403448275862066
2016-07-11,3.84,23.0,0.16978260869565218
2016-07-12,4.0,17.0,0.16270588235294117
2016-07-13,4.0,16.0,0.196625
2016-07-14,4.0,10.0,0.0651
2016-07-15,3.98,10.0,0.2029
2016-07-18,3.98,21.0,0.24495238095238095
2016-07-19,3.98,14.0,0.10135714285714285
2016-07-20,3.98,21.0,0.13195238095238096
2016-07-21,3.98,17.0,0.2080588235294118
2016-07-22,3.98,12.0,0.23674999999999993
2016-07-25,3.98,19.0,0.14752631578947373
