_type,about,category,datePublished,description,image._type,image.thumbnail._type,image.thumbnail.contentUrl,image.thumbnail.height,image.thumbnail.width,mentions,name,provider,url
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/b4a5bd62-2259-21e3-4627-bf249ae6ee84', 'name': 'Indonesia'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/5fcc3d97-0cf2-94e5-6dad-cd70e387bd69', 'name': 'China'}]",,2021-04-05T01:03:00.0000000Z,"Rooted in faith: Islam’s role in Indonesia’s environmental fight Tsingshan last month announced that it would build 2,000 megawatts of solar and ... Club. Tesla chief executive Elon Musk ...",,,,,,,Indonesia’s plans with China’s Tsingshan face pressure to uphold green standards,"[{'_type': 'Organization', 'name': 'South China Morning Post'}]",https://www.scmp.com/week-asia/economics/article/3128294/indonesias-plans-chinas-tsingshan-face-pressure-uphold-green
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/70834f76-d913-bf85-87a6-b9386945a646', 'name': 'The Wall Street Journal'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/c9fe5f46-c943-a674-3ab1-6f66b7aef549', 'name': 'Infrastructure'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/f5036264-e68b-2f81-1ffb-d576b375ea5a', 'name': 'Service Employees International Union'}]",,2021-04-04T19:04:00.0000000Z,"When is a $2.3 trillion infrastructure bill not really about infrastructure? How about when $400 billion would go to expand Medicaid payments for home healthcare, with much of that padding the ...",,,,,,,The SEIU as ‘Infrastructure’,"[{'_type': 'Organization', 'name': 'Wall Street Journal'}]",https://www.wsj.com/articles/the-seiu-as-infrastructure-11617563096
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/5452cee2-12a5-11b9-40a4-4a08900c0b19', 'name': 'Tap and die'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/8d6eec24-dea6-51b2-028d-e10a94c9988f', 'name': 'Parliamentary group leader'}]",,2021-04-03T03:17:00.0000000Z,Farrell in recent years also focused on building solar and wind energy facilities and working toward ... Richmond Mayor Levar Stoney said Farrell’s leadership in the city’s business and philanthropic circles deserves respect. “It’s hard to think ...,,,,,,,Former leader of Dominion Energy dies day after retiring,"[{'_type': 'Organization', 'name': 'Yahoo News'}]",https://news.yahoo.com/former-leader-dominion-energy-dies-015421883.html
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/c5fa012f-7347-0857-872b-2a5efc180846', 'name': 'Bangladesh'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/fbf94cf4-032d-8da9-14b2-b8becaf79334', 'name': 'Wash'}]",,2021-04-10T00:00:00.0000000Z,"Two dead whales have washed up on the same stretch of Bangladesh coastline in two days, officials said Saturday, raising suggestions that they were killed by sea pollution. Officials said the ...",,,,,,,Two dead whales wash up on Bangladesh beach,"[{'_type': 'Organization', 'name': 'Phys.org'}]",https://phys.org/news/2021-04-dead-whales-bangladesh-beach.html
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/f39b29ec-05ee-d6cb-3070-ddaa0fb00ee0', 'name': 'Google'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/b767b3c8-154f-de0f-d1ae-9a1a5c619d77', 'name': 'Fiat Automobiles'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/27d644d7-ca0f-8ec2-364f-55a5a606799b', 'name': 'Hey'}]",,2021-04-03T13:09:00.0000000Z,"Tech companies like Google have been putting their technology in cars for years, but a new collaboration marks the first time drivers will be able to motor around in an actual Google-branded car.",,,,,,,Fiat's new Google-branded cars let you talk to your car remotely with 'Hey Google' — take a look,"[{'_type': 'Organization', 'name': 'CNBC'}]",https://www.cnbc.com/2021/04/03/photos-see-fiats-hey-google-family-of-cars-with-voice-assistant.html
NewsArticle,,,2021-04-07T14:26:00.0000000Z,"NORTH SACRAMENTO (CBS13) – One person was killed and two others injured in a shooting along Del Paso Boulevard on Thursday night, the Sacramento Police Department said. Sacramento police said ...",,,,,,,"1 Killed, 2 Injured – Including 17-Year-Old – In North Sacramento Shooting","[{'_type': 'Organization', 'name': 'CBS Sacramento'}]",https://sacramento.cbslocal.com/2021/04/02/deadly-north-sacramento-shooting-del-paso-blvd/
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/541cd519-750b-9c92-8413-a537def6abbe', 'name': 'White House'}]",,2021-04-04T18:48:00.0000000Z,"But the idea would introduce new actors like Tesla Inc into a program that has already bitterly divided the oil and corn industries. Under the U.S. Renewable Fuel Standard, oil refiners must blend ...",,,,,,,EPA to study whether renewable fuels used to charge should generate EV credits,"[{'_type': 'Organization', 'name': 'Autoblog'}]",https://www.autoblog.com/2021/04/04/epa-renewable-fuel-credits/
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/e2accb9d-ccea-5b7c-7bbc-0db831476d61', 'name': 'Nashville'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/d5f5c59c-aded-e5e6-0792-d70558ff4351', 'name': 'Boutique hotel'}]",,2021-04-07T03:26:00.0000000Z,"Nashville’s The Bobby Hotel will now accept cryptocurrencies including Dogecoin (DOGE), Nashville Business Journal reported. What Happened: Guests at the 144-room boutique hotel can now ...",,,,,,,Good Bois Welcome: This Nashville Boutique Hotel Accepts Dogecoin,"[{'_type': 'Organization', 'name': 'Benzinga.com'}]",https://www.benzinga.com/markets/cryptocurrency/21/04/20512863/good-bois-welcome-this-nashville-boutique-hotel-accepts-dogecoin
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/a11be6ad-ce9e-6e8c-39bc-3987c3cbf2e9', 'name': 'Starbucks'}]",,2021-04-04T00:29:00.0000000Z,"Starbucks customers will now be able to start paying for their orders with an app that converts bitcoin, gift cards or rewards and loyalty points into U.S. dollars. Bakkt Holdings said more than ...",,,,,,,New app lets Starbucks customers pay with bitcoin,"[{'_type': 'Organization', 'name': '10TV.com'}]",https://www.10tv.com/article/news/nation-world/starbucks-bakkt-bitcoin-app/507-03520669-28d4-4fc9-9834-499942cdb809
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/3f3f40cd-6aad-7f12-3594-1256577f8085', 'name': 'Electric Reliability Council of Texas'}]",Business,2021-04-07T21:26:00.0000000Z,"RELATED: Amber Alert-style communication system discussed to warn Texans of future widespread electric outages In February, power from natural gas, coal, nuclear, wind and solar sources all ...",,,,,,,ERCOT says there will be enough power to meet summer demands,"[{'_type': 'Organization', 'name': 'WFAA8'}]",https://www.wfaa.com/article/news/local/ercot-says-there-will-enough-power-meet-summer-demands-electricity-grid/287-f343898f-11fa-4339-b22a-c3ab83f9e67e
