CreatedAt,TweetId,AuthorId,TweetText
2021-03-31T16:11:46.000Z,1377292546771189760,1962579518,Great to see this @GWECGlobalWind ahead of @COP26 convened by GWEC and @RenewableUK &amp; featuring so many of our partners &amp; clients @OrstedUK @SiemensGamesaUK @Vestas @sserenewables helping scale up wind power &amp; reach #netzero targets https://t.co/MpErvk6yAr
2021-03-31T16:10:52.000Z,1377292318546350085,39727483,Making #Berlin's biggest #airconditioner a source for climate-friendly heating  with the joint trial of a large-scale  high-temperature heat pump in the city's #districtheatingnetwork. Find out more: https://t.co/aExAiT5z3F
2021-03-31T16:09:45.000Z,1377292038798909442,39727483,The Presidential #Power Initiative is a strategic and systematic approach to solving Nigeria’s perennial problems of unreliable and inadequate #electricity supply. Learn more about it here:  #Nigeria https://t.co/5Aa8tbWxl9
2021-03-31T16:01:08.000Z,1377289868867465224,179239584,Dubai plans to get 75% of its #Energy from renewables by 2050. @siemens_me @DEWAOfficial &amp; @expo2020dubai are working on a green project to revolutionize #renewables &amp; pave the way for a greener future in the Middle East. https://t.co/lXY6vFMJUr @Siemens rt @antgrasso https://t.co/bgGsXs5qSj
2021-03-31T16:00:34.000Z,1377289727091433477,411907704,Siemens Gamesa locks firm turbine order for 1.4-GW Sofia offshore wind project https://t.co/f9I039mzyC https://t.co/OgqqCKHPEw
2021-03-31T15:30:12.000Z,1377282083727368195,586580224,The Presidential #Power Initiative is a strategic and systematic approach to solving Nigeria’s perennial problems of unreliable and inadequate #electricity supply. Learn more about it here: #Nigeria https://t.co/rk9Ulf9mMi
2021-03-31T15:29:22.000Z,1377281877069852672,586580224,Siemens Energy are proud to have signed a 15-year service agreement with Saudi @Aramco  covering a range of turbines and generators at four major #oil fields. Improving the reliability  efficiency  and availability of #power supply. ▶ Find out more: https://t.co/QjQOr96iGe
2021-03-31T15:13:14.000Z,1377277816388075527,374056868,We applaud the leadership of the Biden-Harris Administration in taking bold action to fight climate change by supporting 30GW #offshorewind by 2030. As the supplier of the first turbines operating in U.S. Federal waters  we work alongside our partners to #BuildBackBetter. https://t.co/TtWvKrU8xI
2021-03-31T15:12:34.000Z,1377277647605141504,848801989903486976,#Busbar Market Expected to Reach $23.6 Billion by 2026.Key Players: @Siemens_Energy @SchneiderNA @RogersCorpHR @PolamcoLtd @TEConnectivity @Legrand  @ChintElectricPT  Get Sample Report: https://t.co/N3LnZeKLZA#power #energy #northamerica #APAC #asiapacific #europe #us
2021-03-31T15:02:45.000Z,1377275176497254400,1330517970905403400,Decarbonization: We Just Have To Capture The Carbon Before It Enters The Atmosphere https://t.co/rYBrjFSDcj
2021-03-31T14:55:18.000Z,1377273302037770241,83303338,Siemens Gamesa Receives First Firm Order for Giant 14MW Offshore Wind Turbine  https://t.co/VOOxFd41OJ
2021-03-31T14:55:02.000Z,1377273234471718915,1297818703556481024,Berlin’s Potsdamer Platz to trial high-temperature heat pump. @Siemens_Energy and German energy provider @VattenfallGroup Wärme Berlin AG have signed an agreement to demonstrate and trial a new large-scale  high-temperature heat pump in Berlin. https://t.co/SVTQAk8MD4
2021-03-31T14:45:42.000Z,1377270886365990914,141890191,Presidential Power Initiative  #PPI. The journey so far..... https://t.co/5sjyJ0gFHs
2021-03-31T14:35:54.000Z,1377268419163217923,3427811296,An agency worker fell 1.8 metres from a platform inside a turbine blade.https://t.co/zCoBLz0hCJ
2021-03-31T14:03:12.000Z,1377260189926092800,1330517970905403400,European companies unveil plan for massive solar-to-hydrogen network. An alliance has been formed by 30 French  Spanish  Italian and German companies to produce hydrogen from solar energy at a similar cost to fossil fuels.To read more just click https://t.co/5X9oyHcThn
2021-03-31T14:01:50.000Z,1377259848807616512,1143129486340370432,Comparehttps://t.co/AJCYp83WLdhttps://t.co/8DP4zy4Bkiwithhttps://t.co/0u0Xzhb024https://t.co/SuQx9dFxBpto see the essential difference to the reduction of carbon intensity - something critical to reduce - if we are to achieve #NetZero
2021-03-31T13:59:29.000Z,1377259256324456448,1962579518,Excellent news for our client @SiemensGamesa #OffShoreWindUK #NetZeroUK #UKrenewables https://t.co/0WAu6AZceL
2021-03-31T13:58:39.000Z,1377259045715841024,1143129486340370432,#UK #Wind at 1200 GMT2.34GW (6.94%) of 33.76GW
