Date,close_fslr,close_gctay,close_run,close_plug,close_spwr,close_mean
2017-03-28,28.28,4.89,5.08,1.5,6.11,9.172
2017-03-29,28.03,4.83,5.26,1.48,6.13,9.145999999999999
2017-03-30,27.47,4.83,5.22,1.46,6.09,9.014
2017-03-31,27.1,4.83,5.4,1.38,6.1,8.962
2017-04-03,26.33,4.83,5.28,1.32,6.04,8.76
2017-04-04,26.82,4.81,5.22,1.3,6.17,8.864
2017-04-05,26.58,4.6,5.03,2.25,6.18,8.928
2017-04-06,26.62,4.71,5.18,2.14,6.22,8.974
2017-04-07,26.81,4.5,5.34,2.03,6.17,8.97
2017-04-10,27.97,4.5,5.54,2.45,7.05,9.501999999999999
2017-04-11,28.1,4.74,5.46,2.64,6.7,9.528000000000002
2017-04-12,27.91,4.2,5.33,2.32,6.73,9.297999999999998
2017-04-13,27.42,4.15,5.23,2.24,6.52,9.112
2017-04-17,27.34,4.1,5.3,2.29,6.68,9.142
2017-04-18,26.89,4.3,5.19,2.25,6.83,9.092
2017-04-19,26.54,4.3,5.16,2.22,6.78,9.0
2017-04-20,26.74,4.3,5.12,2.22,6.73,9.022
2017-04-21,26.8,4.3,5.12,2.12,6.67,9.001999999999999
2017-04-24,27.08,4.35,5.27,2.17,6.74,9.122000000000002
2017-04-25,27.54,4.32,5.42,2.31,6.87,9.292
2017-04-26,28.99,4.29,5.32,2.34,7.02,9.591999999999999
2017-04-27,29.44,4.28,5.33,2.33,7.1,9.696
2017-04-28,29.55,4.27,5.29,2.24,6.94,9.658
2017-05-01,29.55,4.25,5.38,2.3,6.93,9.681999999999999
2017-05-02,30.32,4.25,5.21,2.27,7.18,9.846
2017-05-03,33.91,4.25,4.75,2.21,7.12,10.447999999999999
2017-05-04,34.24,4.37,4.71,2.14,6.68,10.428
2017-05-05,34.54,4.52,4.86,2.29,6.91,10.624
2017-05-08,35.15,4.42,4.92,2.26,6.9,10.73
2017-05-09,35.78,4.42,4.9,2.09,7.11,10.86
2017-05-10,36.57,4.42,5.09,2.15,7.32,11.11
2017-05-11,36.62,4.42,5.0,2.06,7.42,11.104000000000001
2017-05-12,36.38,4.42,4.87,2.07,7.14,10.976
2017-05-15,37.21,4.42,4.905,2.07,7.36,11.193000000000001
2017-05-16,36.78,4.42,4.9,2.04,7.21,11.07
2017-05-17,34.98,4.42,4.81,1.76,7.06,10.606
2017-05-18,34.96,4.42,4.9,1.94,7.28,10.7
2017-05-19,36.34,4.42,5.05,1.9,7.54,11.05
2017-05-22,36.43,4.42,4.9,1.94,7.73,11.084
2017-05-23,36.47,4.75,4.89,1.91,7.95,11.193999999999999
2017-05-24,38.9,4.75,4.92,1.87,8.27,11.741999999999999
2017-05-25,37.94,4.5,4.91,1.88,8.23,11.491999999999999
2017-05-26,36.84,4.5,4.94,1.9,7.95,11.226
2017-05-30,39.5,4.42,5.02,1.85,8.15,11.788
2017-05-31,38.51,4.61,5.04,1.86,7.87,11.578
2017-06-01,38.32,4.5,5.13,1.86,7.99,11.56
2017-06-02,38.33,4.47,5.12,1.93,8.02,11.573999999999998
2017-06-05,37.67,4.48,5.0,1.85,8.11,11.422
2017-06-06,37.44,4.48,5.02,1.86,8.22,11.404
2017-06-07,36.94,4.52,4.93,2.07,7.83,11.258
2017-06-08,37.8,4.52,5.34,2.14,8.18,11.596
2017-06-09,36.65,4.52,5.41,2.04,8.01,11.325999999999999
2017-06-12,36.4,4.52,5.44,2.14,7.93,11.286
2017-06-13,36.46,4.57,5.48,2.11,8.1,11.344000000000001
2017-06-14,36.19,4.57,5.49,2.08,8.07,11.28
2017-06-15,35.73,4.42,5.52,2.05,7.59,11.062000000000001
2017-06-16,35.83,4.15,5.74,2.23,7.57,11.104
2017-06-19,36.35,4.34,5.85,2.25,7.79,11.315999999999999
2017-06-20,35.45,4.09,6.36,2.19,7.51,11.120000000000001
2017-06-21,37.23,4.19,6.52,2.15,7.68,11.553999999999998
2017-06-22,38.42,4.19,6.65,2.21,8.69,12.032
2017-06-23,39.74,4.19,6.75,2.25,9.16,12.418000000000001
2017-06-26,40.17,4.19,6.83,2.18,9.05,12.484
2017-06-27,40.05,4.19,6.89,2.15,9.18,12.491999999999999
2017-06-28,40.49,4.19,7.1,2.13,9.58,12.698
2017-06-29,40.08,4.28,7.27,2.06,9.49,12.636
2017-06-30,39.88,4.28,7.12,2.04,9.34,12.532
2017-07-03,40.07,4.28,7.24,2.05,9.4,12.608
2017-07-05,39.04,4.28,6.8,2.01,8.57,12.139999999999999
2017-07-06,38.67,4.12,6.75,2.07,8.46,12.014
2017-07-07,39.4,4.06,6.79,2.03,8.74,12.204
2017-07-10,39.54,4.06,6.89,2.03,8.9,12.284
2017-07-11,39.81,4.05,6.87,2.03,9.04,12.36
2017-07-12,41.79,4.07,7.06,2.06,10.16,13.028
2017-07-13,41.53,4.06,6.99,2.09,9.87,12.908000000000001
2017-07-14,42.94,4.2,7.07,2.08,10.12,13.282
2017-07-17,42.72,4.2,7.01,2.08,10.37,13.276
2017-07-18,44.02,4.2,7.14,2.07,11.07,13.7
2017-07-19,45.67,4.2,7.27,2.13,11.15,14.084
2017-07-20,46.27,4.2,7.25,2.12,11.03,14.174000000000001
2017-07-21,45.15,3.96,7.29,2.44,10.85,13.937999999999999
