Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2016-08-10,144,755,755,755,5.22
2016-08-11,82,398,398,398,5.41
2016-08-12,349,558,558,558,6.23
2016-08-15,152,304,304,304,6.21
2016-08-16,197,362,362,362,6.09
2016-08-17,99,282,282,282,5.95
2016-08-18,155,371,371,371,6.03
2016-08-19,143,364,364,364,5.98
2016-08-22,76,221,221,221,6.0
2016-08-23,163,367,367,367,6.1
2016-08-24,122,287,287,287,5.99
2016-08-25,46,161,161,161,6.0
2016-08-26,109,229,229,229,5.95
2016-08-29,15,117,117,117,6.0
2016-08-30,105,256,256,256,6.01
2016-08-31,106,297,297,297,6.08
2016-09-01,101,238,238,238,6.06
2016-09-02,65,204,204,204,6.12
2016-09-06,66,189,189,189,6.22
2016-09-07,378,498,498,498,6.11
2016-09-08,84,266,266,266,6.19
2016-09-09,107,254,254,254,6.06
2016-09-12,51,154,154,154,6.1
2016-09-13,131,341,341,341,5.66
2016-09-14,108,341,341,341,5.54
2016-09-15,164,382,382,382,5.52
2016-09-16,193,350,350,350,5.38
2016-09-19,57,212,212,212,5.42
2016-09-20,100,331,331,331,5.45
2016-09-21,56,214,214,214,5.57
2016-09-22,83,219,219,219,5.75
2016-09-23,66,266,266,266,5.92
2016-09-26,52,174,174,174,6.03
2016-09-27,110,345,345,345,6.16
2016-09-28,37,248,248,248,6.23
2016-09-29,125,316,316,316,6.24
2016-09-30,128,246,246,246,6.3
2016-10-03,36,138,138,138,6.17
2016-10-04,131,268,268,268,5.91
2016-10-05,129,250,250,250,6.26
2016-10-06,39,230,230,230,6.12
2016-10-07,182,372,372,372,6.49
2016-10-10,215,342,342,342,6.91
2016-10-11,75,209,209,209,7.02
2016-10-12,59,204,204,204,6.81
2016-10-13,72,203,203,203,6.54
2016-10-14,125,230,230,230,6.38
2016-10-17,87,207,207,207,6.42
2016-10-18,169,294,294,294,6.53
2016-10-19,41,267,267,267,6.65
2016-10-20,29,187,187,187,6.67
2016-10-21,61,168,168,168,6.27
2016-10-24,79,175,175,175,6.08
2016-10-25,42,176,176,176,5.98
2016-10-26,471,638,638,638,5.53
2016-10-27,159,276,276,276,5.37
2016-10-28,88,168,168,168,5.18
2016-10-31,103,213,213,213,5.21
2016-11-01,65,173,173,173,4.86
2016-11-02,28,252,252,252,4.63
2016-11-03,68,432,432,432,4.65
2016-11-04,67,297,297,297,4.71
2016-11-07,89,358,358,358,4.92
2016-11-08,63,208,208,208,4.99
2016-11-09,87,336,336,336,4.79
2016-11-10,115,293,293,293,4.71
2016-11-11,118,284,284,284,5.11
2016-11-14,117,358,358,358,4.98
2016-11-15,74,254,254,254,4.91
2016-11-16,101,406,406,406,4.85
2016-11-17,47,549,549,549,4.8
2016-11-18,95,305,305,305,4.98
2016-11-21,41,204,204,204,4.82
2016-11-22,53,186,186,186,5.05
2016-11-23,36,156,156,156,5.28
2016-11-25,36,136,136,136,5.34
2016-11-28,43,104,104,104,5.38
2016-11-29,37,127,127,127,4.99
2016-11-30,116,198,198,198,5.1
2016-12-01,36,133,133,133,5.0
2016-12-02,50,197,197,197,5.09
2016-12-05,42,165,165,165,5.32
2016-12-06,51,204,204,204,5.46
2016-12-07,63,352,352,352,5.58
2016-12-08,82,277,277,277,5.65
2016-12-09,26,143,143,143,5.85
2016-12-12,35,156,156,156,5.65
2016-12-13,12,107,107,107,5.37
2016-12-14,84,213,213,213,5.24
2016-12-15,101,194,194,194,5.32
2016-12-16,36,152,152,152,5.59
2016-12-19,27,161,161,161,5.8
2016-12-20,38,147,147,147,5.55
